id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
22_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_22	C8H20N2	[M + H]+	C8H20N2	Alkaloids	0.9788861870765686	Ornithine alkaloids	0.9331095218658447	Polyamines	0.883259117603302	Dialkylamines	0.6403236985206604	Secondary amines	0.6614170074462891	Amines	0.9987460374832153	Organonitrogen compounds	0.9999997615814209	Organic nitrogen compounds	1.0	Organic compounds; Organonitrogen compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Secondary amines; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	22
25_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_25	C6H9N4O5P	[M + H]+	C6H9N4O5P	Alkaloids	0.913840115070343	Pseudoalkaloids	0.6784659028053284	Purine alkaloids	0.4487761855125427	Azoles	0.7769439816474915					Azoles	0.7769439816474915	Organoheterocyclic compounds	0.9934929013252258	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Azoles; Organic phosphonic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	25
27_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_27	C6H14N4O2	[M + H]+	C6H14N4O2	Amino acids and Peptides	0.999864935874939	Small peptides	0.9999445676803589	Aminoacids	0.996973991394043	L-alpha-amino acids	0.5884830951690674	Amino acids and derivatives	0.9999157190322876	Amino acids, peptides, and analogues	0.9999185800552368	Carboxylic acids and derivatives	0.9999477863311768	Organic acids and derivatives	0.9999790191650391	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	27
29_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_29	C10H18N2O5S2	[M - H2O + H]+	C10H16N2O4S2	Amino acids and Peptides	0.5310921669006348	Small peptides	0.8080171942710876	Dipeptides	0.3373715281486511	Amino acids and derivatives	0.5180460810661316	Amino acids and derivatives	0.5180460810661316	Amino acids, peptides, and analogues	0.506406307220459	Carboxylic acids and derivatives	0.9618424773216248	Organic acids and derivatives	0.9977752566337585	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Thiolanes; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Heterocyclic fatty acids; Sulfenyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	29
30_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_30	C6H9N3O2	[M + H]+	C6H9N3O2	Amino acids and Peptides	0.9956591129302979	Small peptides	0.9995176792144775	Aminoacids	0.9931121468544006	Histidine and derivatives	0.8499337434768677	Amino acids and derivatives	0.9998384714126587	Amino acids, peptides, and analogues	0.9998509883880615	Carboxylic acids and derivatives	0.9991170763969421	Organic acids and derivatives	0.9998078942298889	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	30
32_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_33	C12H22O11	[M + K]+	C12H22O11	Carbohydrates	0.990691602230072	Saccharides	0.9965588450431824	Disaccharides	0.999975323677063	Disaccharides	0.8945148587226868	Disaccharides	0.8945148587226868	Carbohydrates and carbohydrate conjugates	0.9999735355377197	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	33
34_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_37	C5H9NO4	[M - H2O + H]+	C5H7NO3	Amino acids and Peptides	0.981582760810852	Small peptides	0.9966976642608643	Aminoacids	0.9862779974937439	Proline and derivatives	3.517128106977907E-6	Amino acids and derivatives	0.9994951486587524	Amino acids, peptides, and analogues	0.9994827508926392	Carboxylic acids and derivatives	0.9999978542327881	Organic acids and derivatives	0.9999996423721313	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	37
35_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_38	C4H8N2O3	[M + H]+	C4H8N2O3	Amino acids and Peptides	0.9956426620483398	Small peptides	0.999092698097229	Aminoacids	0.9857370853424072	Alpha amino acids	0.9497564435005188	Amino acids and derivatives	0.9998034834861755	Amino acids, peptides, and analogues	0.9997966885566711	Carboxylic acids and derivatives	0.9999988079071045	Organic acids and derivatives	0.9999998807907104	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Asparagine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	38
36_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_39	C5H10N2O3	[M + H]+	C5H10N2O3	Amino acids and Peptides	0.9971185922622681	Small peptides	0.9991059899330139	Aminoacids	0.9928421974182129	D-alpha-amino acids	0.5650508403778076	Amino acids and derivatives	0.9952810406684875	Amino acids, peptides, and analogues	0.9954589605331421	Carboxylic acids and derivatives	0.9998674392700195	Organic acids and derivatives	0.9999996423721313	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Carboximidic acids and derivatives; Alpha amino acids; Amines; Primary amines; Carboximidic acids; Fatty Acyls; Organic oxides; D-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	39
37_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_40	C5H9NO4	[M + H]+	C5H9NO4	Amino acids and Peptides	0.9723207950592041	Small peptides	0.9968769550323486	Aminoacids	0.9805328845977783	Alpha amino acids	0.9204412698745728	Amino acids and derivatives	0.9991509914398193	Amino acids, peptides, and analogues	0.9991443157196045	Carboxylic acids and derivatives	0.999998927116394	Organic acids and derivatives	0.9999998807907104	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	40
38_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_41	C6H13N3O3	[M + H]+	C6H13N3O3	Amino acids and Peptides	0.9974330067634583	Small peptides	0.9983236193656921	Aminoacids	0.9849957823753357	Alpha amino acids	0.9781633019447327	Amino acids and derivatives	0.9996930360794067	Amino acids, peptides, and analogues	0.9996806383132935	Carboxylic acids and derivatives	0.9999667406082153	Organic acids and derivatives	0.9999996423721313	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Monoalkylamines; Ureas; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	41
39_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_42	C8H20NO6P	[M + H]+	C8H20NO6P	Fatty acids	0.5864297747612	Glycerophospholipids	0.909021258354187	Glycerophosphocholines	0.9329017996788025	Phosphocholines	0.9996440410614014	Cholines	0.9999381303787231	Quaternary ammonium salts	0.9999604225158691	Organonitrogen compounds	0.9999887943267822	Organic nitrogen compounds	0.9999934434890747	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Secondary alcohols; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	42
40_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_43	C6H15O5PS2	[M + H]+	C6H15O5PS2	Fatty acids	0.9291772842407227	Glycerophospholipids	0.47187507152557373	Fatty alcohols	0.20279692113399506	Organic phosphoric acids and derivatives	0.1832415610551834					Organic phosphoric acids and derivatives	0.1832415610551834	Organic acids and derivatives	0.19963981211185455	Organic compounds; Organooxygen compounds; Organophosphorus compounds; Organic thiophosphoric acids and derivatives; Organothiophosphorus compounds; Thiophosphoric acid esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	43
41_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_44	C6H13NO2	[M + H]+	C6H13NO2	Amino acids and Peptides	0.6579399108886719	Small peptides	0.7327595949172974	Aminoacids	0.6315805912017822	Gamma amino acids and derivatives	0.621548593044281	Amino acids and derivatives	0.9671570658683777	Amino acids, peptides, and analogues	0.9656695127487183	Carboxylic acids and derivatives	0.9744812250137329	Organic acids and derivatives	0.9554129838943481	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Gamma amino acids and derivatives; Dialkylamines; Amines; Secondary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	44
42_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_45	C6H11N3O3	[M + H]+	C6H11N3O3	Amino acids and Peptides	0.99979168176651	Small peptides	0.9997559189796448	Aminoacids	0.9902215003967285	Alpha amino acids	0.1916138082742691	Amino acids and derivatives	0.9992750287055969	Amino acids, peptides, and analogues	0.999255359172821	Carboxylic acids and derivatives	0.9999362230300903	Organic acids and derivatives	0.9999581575393677	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Carboximidamides; Organic 1,3-dipolar compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	45
44_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_47	C10H17N4O7P	[M + H]+	C10H17N4O7P	Carbohydrates	0.8888821005821228	Nucleosides	0.8943187594413757	Pyrimidine nucleos(t)ides	0.5885079503059387	Aminopyrimidines and derivatives	0.6947177648544312	Aminopyrimidines and derivatives	0.6947177648544312	Pyrimidines and pyrimidine derivatives	0.7380993962287903	Diazines	0.746503472328186	Organoheterocyclic compounds	0.9952006340026855	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Organic phosphonic acids and derivatives; Azoles; Aminopyrimidines and derivatives; Organic phosphonic acids; Diazines; Secondary alcohols; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; Alkyl phosphates; Monoalkyl phosphates; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	47
45_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_48	C9H12BFO3	[M + H]+	C9H12BFO3	Terpenoids	0.9031449556350708	Monoterpenoids	0.9861138463020325	Pinane monoterpenoids	0.6275002360343933	Benzodioxoles	0.5025810599327087					Benzodioxoles	0.5025810599327087	Organoheterocyclic compounds	0.6425832509994507	Organic compounds; Organoheterocyclic compounds; Ketones; Ethers; Organic acids and derivatives; Organohalogen compounds; Benzodioxoles; Organooxygen compounds; Organometallic compounds; Boronic acid derivatives; Aryl fluorides; Boronic acid esters; Organometalloid compounds; Organofluorides; Acetals; Carbonyl compounds; Benzenoids; Organoboron compounds; Aryl halides; Organic salts; Organic metalloid salts; Organic metal salts; Oxacyclic compounds; Hydrocarbon derivatives; Alkylboranes; Monoalkylboranes; Organic oxygen compounds; Chemical entities	48
46_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_49	C14H16O8	[M + Na]+	C14H16O8	Shikimates and Phenylpropanoids	0.8603795170783997	Coumarins	0.34740862250328064	Simple coumarins	0.33277758955955505	Phenolic glycosides	0.708858072757721	Glycosyl compounds	0.9003928303718567	Carbohydrates and carbohydrate conjugates	0.9936942458152771	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Ketones; Alcohols and polyols; Phenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Pyranones and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	49
47_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_50	C6H11NO2	[M + H]+	C6H11NO2	Amino acids and Peptides	0.9609827995300293	Small peptides	0.9788081645965576	Aminoacids	0.9199436902999878	D-alpha-amino acids	0.540514349937439	Amino acids and derivatives	0.9984320998191833	Amino acids, peptides, and analogues	0.9984377026557922	Carboxylic acids and derivatives	0.9971423745155334	Organic acids and derivatives	0.995171844959259	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Dialkylamines; Alpha amino acids; Pyrrolidine carboxylic acids; Amines; Primary amines; Secondary amines; Organic oxides; Azacyclic compounds; D-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	50
