confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
110	1	1	2	2	0.4202968166039949	-15.840175233112369	0.9999999999999999	72.82771226004121	C12H20O2	[M - H2O + H]+	HQSBWLQFLLMPKC	InChI=1S/C12H20O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h8-11H,2-7H2,1H3,(H,13,14)	Dodecadienoic acid	CCCCCCCC=CC=CC(=O)O	4.4000001	25480;5312382;18625118;21158962;88081166;87446020	COCONUT:(CNP0115107);Natural Products:(UNPD24796);PubChem:(25480 5312382 18625118 21158962 88081166 87446020);SuperNatural:(SN00373735);additional;PubChem class - bio and metabolites;Training Set;PubMed	20496450	179.1431	250.48	505_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_554	554
111	1	1	2	2	0.4187612635586177	-73.99814459738462	0.9999999999999999	99.36680087527795	C11H16O3	[M + H]+	PIJHLJYFYMNUMA	InChI=1S/C11H16O3/c1-8(12)3-2-4-9-5-10(13)7-11(14)6-9/h5-8,12-14H,2-4H2,1H3	null	CC(CCCC1=CC(=CC(=C1)O)O)O	1.89999998	125416105;125416104;129008856	COCONUT:(CNP0087307);Training Set;PubChem:(125416105 125416104 129008856)	2113538	197.11723	192.93	353_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_382	382
112	1	1	2	2	0.4153024318508709	-31.905860462341515	0.9994974874371858	69.80777687974836	C13H16O8	[M - H2O + H]+	XWTGDGASXRARSP	InChI=1S/C13H16O8/c14-5-8-9(16)10(17)11(18)13(20-8)21-12(19)6-1-3-7(15)4-2-6/h1-4,8-11,13-18H,5H2	[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 4-hydroxybenzoate	C1=CC(=CC=C1C(=O)OC2C(C(C(C(O2)CO)O)O)O)O	-0.886560917	14132341;14132342;50906377;54492551;66694901;91247492	COCONUT:(CNP0289005);Natural Products:(UNPD134590 UNPD84478 UNPD141396);PubChem:(14132341 14132342 50906377 54492551 66694901 91247492);SuperNatural:(SN00263496 SN00392758);PubChem class - bio and metabolites;Plantcyc:(CPD-15283);PubMed;Biocyc:(CPD-15283)	20088898	283.08123	158.98	254_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_271	271
113	1	1	2	2	0.41222536180947816	-17.371899928031596	0.9999999999999999	102.10756286329845	C12H20O2	[M - H2O + H]+	HQSBWLQFLLMPKC	InChI=1S/C12H20O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h8-11H,2-7H2,1H3,(H,13,14)	Dodecadienoic acid	CCCCCCCC=CC=CC(=O)O	4.4000001	25480;5312382;18625118;21158962;88081166;87446020	COCONUT:(CNP0115107);Natural Products:(UNPD24796);PubChem:(25480 5312382 18625118 21158962 88081166 87446020);SuperNatural:(SN00373735);additional;PubChem class - bio and metabolites;Training Set;PubMed	20496450	179.1431	300.43	539_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_596	596
114	1	1	2	2	0.41145407564873493	-21.78927365302888	0.9999999999999999	65.01909576052843	C11H11NO3	[M - H2O + H]+	XGILAAMKEQUXLS	InChI=1S/C11H11NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,10,12-13H,5H2,(H,14,15)	bmse000409	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O	1.30389476	92904;676157;676158;9548603;6920148;6920149;139025994	HMDB:(671);ZINC bio:(ZINC00039098 ZINC00039099);additional;MeSH:(92904);Plantcyc:(INDOLE_LACTATE);PubMed;NORMAN:(NS00014853);COCONUT:(CNP0082919 CNP0416375);Natural Products:(UNPD31711 UNPD35260);PubChem:(92904 676157 676158 9548603 6920148 6920149 139025994);YMDB Mine;CHEBI:(55528 17282 55529 24813);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C22006 C02043);PubChem class - safety and toxic;Training Set;Biocyc:(INDOLE_LACTATE CPD-21492)	51626568046	188.07066	121.15	176_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_188	188
115	1	1	1	3	0.40890216682475017	-136.34533151532182	0.9859296482412062	15.295724380368984	C17H28O10	[M + Na]+	SAJHQVLFIJLYPM	InChI=1S/C17H28O10/c1-6-9(19)3-7-8(15(23)24-2)5-25-16(11(6)7)27-17-14(22)13(21)12(20)10(4-18)26-17/h5-7,9-23H,3-4H2,1-2H3	null	CC1C(CC2C1C(OC=C2C(O)OC)OC3C(C(C(C(O3)CO)O)O)O)O	-1.4678539	""	COCONUT:(CNP0156941);Natural Products:(UNPD46229);SuperNatural:(SN00244906)	3178496	415.15766	177.87	303_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_330	330
116	1	1	1	2	0.4075352208592193	-68.982054189663	0.9999999999999999	54.33834896756236	C7H17NO	[M + H]+	SALYKAIZVOFAEJ	InChI=1S/C7H17NO/c1-2-3-4-5-8-6-7-9/h8-9H,2-7H2,1H3	Pentylethanolamine	CCCCCNCCO	0.899999976	97502;6994764	NORMAN:(NS00029786);MeSH:(97502);PubChem:(97502 6994764);PubMed;ZINC bio:(ZINC01716840)	270406	132.13834	47.25	56_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_59	59
117	1	1	1	1	0.4065368445883444	-199.17463687854826	0.0	42.49550344697212	C22H28O12	[M + H]+	JZCXWLYHHFCGQT	InChI=1S/C22H28O12/c23-7-13-15(25)17(27)19(29)21(33-13)31-11-5-6-12(10-4-2-1-3-9(10)11)32-22-20(30)18(28)16(26)14(8-24)34-22/h1-6,13-30H,7-8H2	null	C1=CC=C2C(=C1)C(=CC=C2OC3C(C(C(C(O3)CO)O)O)O)OC4C(C(C(C(O4)CO)O)O)O	-1.10000002	11134650	COCONUT:(CNP0327680);KNApSAcK:(33342);Natural Products:(UNPD91151);PubChem:(11134650);SuperNatural:(SN00279688)	3178514	485.16462	235.3	469_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_512	512
118	1	1	1	1	0.4063652274466565	-58.0967596909929	0.9999999999999999	2090.3933260736567	C19H38O4	[M + Na]+	QHZLMUACJMDIAE	InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3	Monopalmitin	CCCCCCCCCCCCCCCC(=O)OCC(CO)O	5.56583691	14900;3084463;11359451;54229153;57694152	HMDB:(11564);PubChem class - food;SuperNatural:(SN00038308 SN00038309);ZINC bio:(ZINC32840891 ZINC32840892);additional;MeSH:(14900 3084463 11359451);PubMed;Lipid:(MG(16:0));NORMAN:(NS00010577);COCONUT:(CNP0138044);KNApSAcK:(42063);Natural Products:(UNPD194139 UNPD25833);PubChem:(14900 3084463 11359451 54229153 57694152);CHEBI:(64757 75542 75811 69081);PubChem class - bio and metabolites;EcoCyc Mine;PubChem class - safety and toxic;YMDB:(2313);Training Set;Biocyc:(CPD-8508);KEGG Mine	30286932094	353.26862	422.13	578_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_645	645
119	1	1	1	2	0.4060559322075832	-3.2294838757518267	0.9999999999999999	48.19478623734002	C7H19N3	[M + H]+	ATHGHQPFGPMSJY	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	Spermidin	C(CCNCCCN)CN	-1.0	1102;6992097;10845260;71310763;71311068;90469747;101602097;102033574;102033576;101741870;101741871;101741872;101756247;101756248;119077440;119078111;119078112;129710117;131872266;139024997;138454344	HMDB:(1257);SuperNatural:(SN00307214 SN00002231);ZINC bio:(ZINC01532612);additional;MeSH:(1102);Plantcyc:(SPERMIDINE);PubMed;NORMAN:(NS00014635);COCONUT:(CNP0187744 CNP0279184);KNApSAcK:(1431);Natural Products:(UNPD179137);PubChem:(1102 6992097 10845260 71310763 71311068 90469747 101602097 102033574 102033576 101741870 101741871 101741872 101756247 101756248 119077440 119078111 119078112 129710117 131872266 139024997 138454344);CHEBI:(16610 57834);PubChem class - bio and metabolites;KEGG:(C00315);PubChem class - safety and toxic;YMDB:(232);PubChem class - drug;Biocyc:(SMA-0000314 SPERMIDINE)	121612670	146.16525	54.39	72_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_75	75
120	1	1	2	2	0.40474531692773313	-44.23661253469513	0.9999999999999999	30.281573327335156	C5H6O5	[M - H2O + H]+	MAIRDOOJJIGWBJ	InChI=1S/C5H6O5/c1-10-4(7)2-3(6)5(8)9/h2H2,1H3,(H,8,9)	Oxac 4-mees	COC(=O)CC(=O)C(=O)O	-0.300000012	128843;25202714	PubChem:(128843 25202714);YMDB Mine;CHEBI:(57927 16859);EcoCyc Mine;MeSH:(128843);KEGG:(C03716);Training Set;PubMed;Biocyc:(CPD-521)	51539626342	129.01845	49.28	58_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_61	61
121	1	1	1	1	0.4040780234834363	-5.930373110250343	0.9999999999999999	2033.7239900847019	C23H44NO7P	[M + H]+	DBHKHNGBVGWQJE	InChI=1S/C23H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h6-7,9-10,22,25H,2-5,8,11-21,24H2,1H3,(H,27,28)	Lysophosphatidylethanolamine(18:2/0:0)	CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O	1.79999995	52925130;90657442;134726036;134726037;138141392;139291819	COCONUT:(CNP0413388);HMDB:(11507);PubChem:(52925130 90657442 134726036 134726037 138141392 139291819);CHEBI:(83058);PubChem class - bio and metabolites;PubMed;Biocyc:(CPD-8356);Lipid:(LPE(18:2))	4313843818	478.29298	437.61	584_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_651	651
122	1	1	2	2	0.4024069615966814	-41.401779920635995	0.9999999999999999	71.83382650082453	C17H32O11	[M - H2O + H]+	PPIXDGFHKZNFOD	InChI=1S/C17H32O11/c1-7(2)3-4-25-16-14(23)13(22)11(20)9(28-16)6-26-17-15(24)12(21)10(19)8(5-18)27-17/h7-24H,3-6H2,1-2H3	null	CC(C)CCOC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O	-2.5	101995872;131753153;134458201	COCONUT:(CNP0263485);HMDB:(41512);Natural Products:(UNPD179627);PubChem:(101995872 131753153 134458201);PubChem class - bio and metabolites	18907146	395.19116	216.52	431_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_464	464
123	1	1	2	2	0.40137577233874827	-33.62356010514948	0.9999999999999999	55.07683667371322	C15H18O9	[M - H2O + H]+	WQSDYZZEIBAPIN	InChI=1S/C15H18O9/c16-6-10-12(20)13(21)14(22)15(23-10)24-11(19)4-2-7-1-3-8(17)9(18)5-7/h1-5,10,12-18,20-22H,6H2	1-Caffeoyl-beta-D-glucose	C1=CC(=C(C=C1C=CC(=O)OC2C(C(C(C(O2)CO)O)O)O)O)O	-0.600000024	442778;4484225;6124135;5281761;11674551;50906161;54444762;89716735;89718972;123969668;129848204	HMDB:(36937);SuperNatural:(SN00368000 SN00143294);Plantcyc:(CPD-16550);PubMed;COCONUT:(CNP0201883);KNApSAcK:(2718);Natural Products:(UNPD21429 UNPD44792 UNPD211394 UNPD215989);PubChem:(442778 4484225 6124135 5281761 11674551 50906161 54444762 89716735 89718972 123969668 129848204);CHEBI:(614);PubChem class - bio and metabolites;KEGG:(C10433);Biocyc:(CPD-16550)	20089210	325.09146	164.42	271_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_290	290
124	1	4	2	5	0.3992539547422188	-48.274128654901375	0.08341708542713569	0.5739371817190397	C5H10Cl2O4S2	[M + H]+	CJUSGQJXURKKBQ	InChI=1S/C5H10Cl2O4S2/c6-1-3-12(8,9)5-13(10,11)4-2-7/h1-5H2	1,1-Bis(2-chloroethylsulphonyl)methane	C(CCl)S(=O)(=O)CS(=O)(=O)CCCl	0.300000012	93227	PubChem:(93227);NORMAN:(NS00030927)	262146	268.94599	49.28	66_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_69	69
125	1	1	2	2	0.3990536653869729	-3.396684214480699	0.9999999999999999	46.56070160443883	C10H10O4	[M - H2O + H]+	KSEBMYQBYZTDHS	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)	ferulate	COC1=C(C=CC(=C1)C=CC(=O)O)O	1.3799032	709;1548883;445858;10262057;11310152;16109944;45039253;54691413;54710368;54730542;57369490;71311006;90887593;117064991;131871184	HMDB:(954 125096);PubChem class - food;SuperNatural:(SN00013826 SN00227139 SN00253517 SN00000975);ZINC bio:(ZINC00058258 ZINC06004762);additional;HSDB:(1135-24-6);MeSH:(445858);Plantcyc:(FERULIC-ACID IMINO-GROUP);PubMed;NORMAN:(NS00006133);COCONUT:(CNP0076256 CNP0082116 CNP0304940);KNApSAcK:(34325);Natural Products:(UNPD23140 UNPD12047 UNPD142498 UNPD215998);PubChem:(709 1548883 445858 10262057 11310152 16109944 45039253 54691413 54710368 54730542 57369490 71311006 90887593 117064991 131871184);CHEBI:(76117 17620 29749);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01494);PubChem class - safety and toxic;YMDB:(1325);Training Set;PubChem class - drug;Biocyc:(FERULIC-ACID)	17435716478	177.05439	235.3	464_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_507	507
126	1	1	1	1	0.39776602955335433	-55.37665947010761	0.9999999999999999	3032.0053302917495	C26H48NO7P	[M + H]+	WKQNRCYKYCKESD	InChI=1S/C26H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h6-7,9-10,12-13,25,28H,5,8,11,14-24H2,1-4H3/p+1	1-18:3-lysoPC	CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	4.4000001	5313992;5313993;24779469;24779470;134776142;134776143;139292123;139292124	COCONUT:(CNP0421217);HMDB:(10388);PubChem:(5313992 5313993 24779469 24779470 134776142 134776143 139292123 139292124);YMDB Mine;CHEBI:(133456 88697);additional;Training Set;PubMed;Biocyc:(CPD-8348)	34362378346	518.3243	411.79	575_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_642	642
127	1	1	2	2	0.39775532990334644	-6.918114595512859	0.9999999999999999	55.583939611533296	C10H10O4	[M - H2O + H]+	KSEBMYQBYZTDHS	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)	ferulate	COC1=C(C=CC(=C1)C=CC(=O)O)O	1.3799032	709;1548883;445858;10262057;11310152;16109944;45039253;54691413;54710368;54730542;57369490;71311006;90887593;117064991;131871184	HMDB:(954 125096);PubChem class - food;SuperNatural:(SN00013826 SN00227139 SN00253517 SN00000975);ZINC bio:(ZINC00058258 ZINC06004762);additional;HSDB:(1135-24-6);MeSH:(445858);Plantcyc:(FERULIC-ACID IMINO-GROUP);PubMed;NORMAN:(NS00006133);COCONUT:(CNP0076256 CNP0082116 CNP0304940);KNApSAcK:(34325);Natural Products:(UNPD23140 UNPD12047 UNPD142498 UNPD215998);PubChem:(709 1548883 445858 10262057 11310152 16109944 45039253 54691413 54710368 54730542 57369490 71311006 90887593 117064991 131871184);CHEBI:(76117 17620 29749);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01494);PubChem class - safety and toxic;YMDB:(1325);Training Set;PubChem class - drug;Biocyc:(FERULIC-ACID)	17435716478	177.05475	207.45	397_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_429	429
128	1	1	2	2	0.3976047359398783	-5.4565853607675985	0.9999999999999999	31.613658084369927	C9H8O3	[M - H2O + H]+	NGSWKAQJJWESNS	InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)	coumarate	C1=CC(=CC=C1C=CC(=O)O)O	1.39296985	322;1549106;637542;11116469;16109932;54708745;54721280;54729371;71310960;117064649;124202750;131708669;131871182	HMDB:(2035 30677 128076);SuperNatural:(SN00157333 SN00000381 SN00248047 SN00397780);ZINC bio:(ZINC00039811 ZINC04632590);additional;MeSH:(637542);Plantcyc:(COUMARATE);PubMed;NORMAN:(NS00004354);COCONUT:(CNP0255341 CNP0359225);KNApSAcK:(580);Natural Products:(UNPD19621 UNPD96408 UNPD212098);PubChem:(322 1549106 637542 11116469 16109932 54708745 54721280 54729371 71310960 117064649 124202750 131708669 131871182);CHEBI:(32374 58152 12876 36090 32373 17450);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C06738 C00811);PubChem class - safety and toxic;YMDB:(498);Training Set;Biocyc:(CIS-P-COUMARATE COUMARATE CPD1UA-13)	17267943806	147.04408	171.94	284_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_306	306
129	1	1	2	2	0.39649090677079457	-34.887039691932735	0.9999999999999999	65.38341542790302	C16H22O10	[M - H2O + H]+	ZJDOESGVOWAULF	InChI=1S/C16H22O10/c17-3-6-1-2-7-8(14(22)23)5-24-15(10(6)7)26-16-13(21)12(20)11(19)9(4-18)25-16/h1,5,7,9-13,15-21H,2-4H2,(H,22,23)	Geniposidic acid	C1C=C(C2C1C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)O)CO	-2.70000005	323273;443354;5324103;6325199;12087362;13564418;13564420;10339357;15939127;71774724;90470758;97050366;97050367;97050368;97050369;125041148;125041149;125041150;124511254;129010064;129010420;129362041;129362042;129362043;131698396;131704761;131707480;133612281;138107800	HMDB:(34942);SuperNatural:(SN00377434 SN00007024 SN00177503 SN00298281 SN00300136 SN00166214);ZINC bio:(ZINC04102166);additional;MeSH:(443354);PubMed;COCONUT:(CNP0195240 CNP0305858);KNApSAcK:(10564);Natural Products:(UNPD106583 UNPD162860 UNPD155880);PubChem:(323273 443354 5324103 6325199 12087362 13564418 13564420 10339357 15939127 71774724 90470758 97050366 97050367 97050368 97050369 125041148 125041149 125041150 124511254 129010064 129010420 129362041 129362042 129362043 131698396 131704761 131707480 133612281 138107800);CHEBI:(5301);PubChem class - bio and metabolites;KEGG:(C11673);PubChem class - safety and toxic	87597438	357.11729	106.33	142_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_151	151
130	1	1	2	3	0.3959823845930203	-7.7560083163462	0.685427135678392	21.535181396635323	C28H32O14	[M + H]+	YFVGIJBUXMQFOF	InChI=1S/C28H32O14/c1-11-21(31)23(33)25(35)27(39-11)38-10-19-22(32)24(34)26(36)28(42-19)40-14-7-15(29)20-16(30)9-17(41-18(20)8-14)12-3-5-13(37-2)6-4-12/h3-9,11,19,21-29,31-36H,10H2,1-2H3	Acaciin	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)O)O)O)O)O)O	-0.5	7564387;7564390;7564395;7564401;5317025;5480901;6708769;12302109;12302110;11968446;16758006;21550303;44559598;44257888;45933932;51340202;98072863;98072864;98072866;98072868;101428231;122173141;125121241;125121242;124900115;124900116;124900117;124900118;134695384	SuperNatural:(SN00157299 SN00295132 SN00347122 SN00177723);ZINC bio:(ZINC04349491);additional;MeSH:(5317025);PubMed;NORMAN:(NS00031751);COCONUT:(CNP0238768 CNP0241240);KNApSAcK:(4205);Natural Products:(UNPD170540 UNPD28457 UNPD113999);PubChem:(7564387 7564390 7564395 7564401 5317025 5480901 6708769 12302109 12302110 11968446 16758006 21550303 44559598 44257888 45933932 51340202 98072863 98072864 98072866 98072868 101428231 122173141 125121241 125121242 124900115 124900116 124900117 124900118 134695384);CHEBI:(92455);Training Set	3989622	593.18677	246.08	497_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_545	545
131	1	1	2	2	0.3954719602597748	-3.185959691685785	0.9999999999999999	79.5912712192903	C10H10O4	[M - H2O + H]+	KSEBMYQBYZTDHS	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)	ferulate	COC1=C(C=CC(=C1)C=CC(=O)O)O	1.3799032	709;1548883;445858;10262057;11310152;16109944;45039253;54691413;54710368;54730542;57369490;71311006;90887593;117064991;131871184	HMDB:(954 125096);PubChem class - food;SuperNatural:(SN00013826 SN00227139 SN00253517 SN00000975);ZINC bio:(ZINC00058258 ZINC06004762);additional;HSDB:(1135-24-6);MeSH:(445858);Plantcyc:(FERULIC-ACID IMINO-GROUP);PubMed;NORMAN:(NS00006133);COCONUT:(CNP0076256 CNP0082116 CNP0304940);KNApSAcK:(34325);Natural Products:(UNPD23140 UNPD12047 UNPD142498 UNPD215998);PubChem:(709 1548883 445858 10262057 11310152 16109944 45039253 54691413 54710368 54730542 57369490 71311006 90887593 117064991 131871184);CHEBI:(76117 17620 29749);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01494);PubChem class - safety and toxic;YMDB:(1325);Training Set;PubChem class - drug;Biocyc:(FERULIC-ACID)	17435716478	177.05467	177.59	297_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_322	322
132	1	4	1	9	0.3950314481257365	-60.68765392592996	0.020100502512562818	61.51610260751522	C23H42NO7P	[M + Na]+	NTBBASCGALPTDC	InChI=1S/C23H42NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h3-4,6-7,9-10,22,25H,2,5,8,11-21,24H2,1H3,(H,27,28)	1-18:3-lysoPE	CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O	1.10000002	25244635;25244636;52925148;90658600;134753565	COCONUT:(CNP0104981);HMDB:(11509);PubChem:(25244635 25244636 52925148 90658600 134753565);Biocyc:(CPD-8357);PubChem class - bio and metabolites	18876426	498.25475	202.41	383_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_413	413
133	1	1	2	2	0.39379785867681233	-61.22250766854616	0.9999999999999999	88.30084819549795	C11H18O3	[M - H2O + H]+	XIWMHTMGRGPLQO	InChI=1S/C11H18O3/c1-3-4-9-8(5-6-10(9)12)7-11(13)14-2/h8-9H,3-7H2,1-2H3	Methyl 3-oxo-2-propylcyclopentaneacetate	CCCC1C(CCC1=O)CC(=O)OC	1.60000002	170615	PubChem:(170615);NORMAN:(NS00057622)	262146	181.12232	182.49	318_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_345	345
134	1	1	2	2	0.39269887137771764	-3.340834712524886	0.9999999999999999	73.98357643165585	C10H10O4	[M - H2O + H]+	KSEBMYQBYZTDHS	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)	ferulate	COC1=C(C=CC(=C1)C=CC(=O)O)O	1.3799032	709;1548883;445858;10262057;11310152;16109944;45039253;54691413;54710368;54730542;57369490;71311006;90887593;117064991;131871184	HMDB:(954 125096);PubChem class - food;SuperNatural:(SN00013826 SN00227139 SN00253517 SN00000975);ZINC bio:(ZINC00058258 ZINC06004762);additional;HSDB:(1135-24-6);MeSH:(445858);Plantcyc:(FERULIC-ACID IMINO-GROUP);PubMed;NORMAN:(NS00006133);COCONUT:(CNP0076256 CNP0082116 CNP0304940);KNApSAcK:(34325);Natural Products:(UNPD23140 UNPD12047 UNPD142498 UNPD215998);PubChem:(709 1548883 445858 10262057 11310152 16109944 45039253 54691413 54710368 54730542 57369490 71311006 90887593 117064991 131871184);CHEBI:(76117 17620 29749);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01494);PubChem class - safety and toxic;YMDB:(1325);Training Set;PubChem class - drug;Biocyc:(FERULIC-ACID)	17435716478	177.0547	187.28	328_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_355	355
135	1	1	2	2	0.39200163182128867	-3.3077977101849636	0.9999999999999999	72.75886688543008	C10H10O4	[M - H2O + H]+	KSEBMYQBYZTDHS	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)	ferulate	COC1=C(C=CC(=C1)C=CC(=O)O)O	1.3799032	709;1548883;445858;10262057;11310152;16109944;45039253;54691413;54710368;54730542;57369490;71311006;90887593;117064991;131871184	HMDB:(954 125096);PubChem class - food;SuperNatural:(SN00013826 SN00227139 SN00253517 SN00000975);ZINC bio:(ZINC00058258 ZINC06004762);additional;HSDB:(1135-24-6);MeSH:(445858);Plantcyc:(FERULIC-ACID IMINO-GROUP);PubMed;NORMAN:(NS00006133);COCONUT:(CNP0076256 CNP0082116 CNP0304940);KNApSAcK:(34325);Natural Products:(UNPD23140 UNPD12047 UNPD142498 UNPD215998);PubChem:(709 1548883 445858 10262057 11310152 16109944 45039253 54691413 54710368 54730542 57369490 71311006 90887593 117064991 131871184);CHEBI:(76117 17620 29749);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01494);PubChem class - safety and toxic;YMDB:(1325);Training Set;PubChem class - drug;Biocyc:(FERULIC-ACID)	17435716478	177.05467	210.02	409_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_442	442
136	1	1	1	1	0.39071459555493293	-43.36006095064784	0.9999999999999999	18.064540173661126	C16H22O10	[M + Na]+	ZJDOESGVOWAULF	InChI=1S/C16H22O10/c17-3-6-1-2-7-8(14(22)23)5-24-15(10(6)7)26-16-13(21)12(20)11(19)9(4-18)25-16/h1,5,7,9-13,15-21H,2-4H2,(H,22,23)	Geniposidic acid	C1C=C(C2C1C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)O)CO	-2.70000005	323273;443354;5324103;6325199;12087362;13564418;13564420;10339357;15939127;71774724;90470758;97050366;97050367;97050368;97050369;125041148;125041149;125041150;124511254;129010064;129010420;129362041;129362042;129362043;131698396;131704761;131707480;133612281;138107800	HMDB:(34942);SuperNatural:(SN00377434 SN00007024 SN00177503 SN00298281 SN00300136 SN00166214);ZINC bio:(ZINC04102166);additional;MeSH:(443354);PubMed;COCONUT:(CNP0195240 CNP0305858);KNApSAcK:(10564);Natural Products:(UNPD106583 UNPD162860 UNPD155880);PubChem:(323273 443354 5324103 6325199 12087362 13564418 13564420 10339357 15939127 71774724 90470758 97050366 97050367 97050368 97050369 125041148 125041149 125041150 124511254 129010064 129010420 129362041 129362042 129362043 131698396 131704761 131707480 133612281 138107800);CHEBI:(5301);PubChem class - bio and metabolites;KEGG:(C11673);PubChem class - safety and toxic	87597438	397.10972	106.33	146_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_155	155
